"filename", "language", "HTML", "C++", "JSON", "CMake", "YAML", "Markdown", "Dart", "Swift", "XML", "Python", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\widgets\customer\category_selector.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\Acer\u_teen\lib\widgets\customer\custom_bottom_navigation.dart", "Dart", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 13, 168
"c:\Users\Acer\u_teen\lib\widgets\customer\detail_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 4, 295
"c:\Users\Acer\u_teen\lib\widgets\customer\food_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 8, 207
"c:\Users\Acer\u_teen\lib\widgets\customer\notes_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\Acer\u_teen\lib\widgets\customer\search_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 0, 0, 0, 14, 541
"c:\Users\Acer\u_teen\lib\widgets\customer\time_picker_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 1, 19, 294
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 682, 0, 0, 0, 0, 0, 11, 21, 714
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 14, 227
"c:\Users\Acer\u_teen\lib\widgets\rating\feedback_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 16, 230
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_distribution_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 5, 90
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_history_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_stars.dart", "Dart", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_summary_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"c:\Users\Acer\u_teen\lib\widgets\seller\calendar_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 522, 0, 0, 0, 0, 0, 0, 28, 550
"c:\Users\Acer\u_teen\lib\widgets\seller\custom_bottom_navigation.dart", "Dart", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 14, 180
"c:\Users\Acer\u_teen\lib\widgets\seller\empty_state_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Acer\u_teen\lib\widgets\seller\event_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\Acer\u_teen\lib\widgets\seller\product_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 6, 252
"c:\Users\Acer\u_teen\lib\widgets\seller\sales_metric_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Acer\u_teen\lib\widgets\status_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\Acer\u_teen\lib\widgets\withdraw\quick_amount_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Acer\u_teen\lib\widgets\withdraw\withdrawal_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 7, 317
"c:\Users\Acer\u_teen\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\Acer\u_teen\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Acer\u_teen\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Acer\u_teen\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Acer\u_teen\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Acer\u_teen\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Acer\u_teen\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 4, 27
"c:\Users\Acer\u_teen\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Acer\u_teen\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Acer\u_teen\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Acer\u_teen\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\Acer\u_teen\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
